be,am/is/are,was/were,been
become,becomes,became,become
begin,begins,began,begun
bite,bites,bit,bitten
blow,blows,blew,blown
break,breaks,broke,broken
bring,brings,brought,brought
build,builds,built,built
buy,buys,bought,bought
catch,catches,caught,caught
choose,chooses,chose,chosen
come,comes,came,come
cost,costs,cost,cost
cut,cuts,cut,cut
do,does,did,done
draw,draws,drew,drawn
drink,drinks,drank,drunk
drive,drives,drove,driven
eat,eats,ate,eaten
fall,falls,fell,fallen
feel,feels,felt,felt
fight,fights,fought,fought
find,finds,found,found
fly,flies,flew,flown
forget,forgets,forgot,forgotten
get,gets,got,gotten
give,gives,gave,given
go,goes,went,gone
grow,grows,grew,grown
have,has,had,had
hear,hears,heard,heard
hide,hides,hid,hidden
hit,hits,hit,hit
hold,holds,held,held
hurt,hurts,hurt,hurt
keep,keeps,kept,kept
know,knows,knew,known
leave,leaves,left,left
lose,loses,lost,lost
make,makes,made,made
meet,meets,met,met
pay,pays,paid,paid
put,puts,put,put
read,reads,read,read
run,runs,ran,run
say,says,said,said
see,sees,saw,seen
sell,sells,sold,sold
send,sends,sent,sent
sit,sits,sat,sat
