cat,cats
dog,dogs
book,books
apple,apples
car,cars
house,houses
child,children
woman,women
man,men
mouse,mice
tooth,teeth
foot,feet
leaf,leaves
life,lives
city,cities
baby,babies
party,parties
country,countries
lady,ladies
hero,heroes
knife,knives
loaf,loaves
person,people
cactus,cacti
datum,data
analysis,analyses
axis,axes
crisis,crises
thesis,theses
bacterium,bacteria
symposium,symposiums
index,indices
appendix,appendices
alumnus,alumni
fungus,fungi
species,species
attorney,attorneys
trophy,trophies
piano,pianos
scarf,scarves
dictionary,dictionaries
tomato,tomatoes
bus,buses
class,classes
country,countries
person,people
child,children
medium,media
crisis,crises
thesis,theses
